StudyTime,Attendance,PreviousScore,FinalScore
2.2,83.6,56.8,46.1
3.5,87.0,52.3,54.2
4.9,93.2,61.1,64.9
8.6,96.5,84.3,83.4
4.0,78.4,81.4,74.3
5.4,68.7,72.9,47.6
5.0,77.9,51.6,57.8
7.4,84.6,67.6,64.9
10.0,72.4,73.6,68.5
3.9,72.4,72.1,53.2
4.0,85.4,47.9,49.3
7.1,81.5,59.3,71.8
6.4,82.3,69.2,69.1
8.7,74.4,76.4,70.0
6.2,79.7,43.6,62.6
4.3,72.8,68.1,48.7
6.2,90.9,71.7,61.6
7.2,92.4,80.2,62.8
6.6,63.5,78.3,58.1
6.0,72.7,77.0,63.8
7.1,67.0,60.4,59.1
7.3,75.5,47.1,58.8
7.8,81.2,65.3,59.7
6.3,67.5,82.0,67.4
4.7,72.8,86.7,64.0
5.3,72.0,78.5,65.1
7.4,84.1,75.2,60.3
3.4,82.7,74.6,61.0
5.7,74.8,63.3,52.9
4.2,83.8,68.4,57.9
5.1,76.5,90.0,68.7
7.6,79.3,58.7,64.1
5.4,98.7,89.4,70.1
5.1,95.4,66.1,65.5
2.3,69.0,85.9,47.8
6.5,90.3,53.1,68.9
6.3,90.1,77.0,68.7
9.3,70.5,61.2,70.9
4.4,90.2,53.0,55.4
5.4,97.4,72.6,66.2
5.5,70.8,82.1,58.8
8.2,72.8,59.9,67.5
4.8,92.2,52.0,55.8
5.6,84.7,68.9,67.0
6.2,87.5,69.0,64.3
5.4,85.4,76.6,56.0
4.1,85.9,81.4,61.5
5.4,68.7,69.3,51.9
7.1,92.5,92.3,77.3
2.9,93.7,72.7,55.6
5.3,79.7,65.8,65.0
3.6,81.6,50.7,52.0
7.4,66.7,66.8,60.3
2.0,87.1,66.0,58.4
3.9,87.7,81.5,69.3
5.8,81.4,75.5,65.0
8.1,93.2,55.8,64.9
4.9,78.7,72.1,52.1
3.9,87.6,78.1,60.0
8.8,71.8,88.3,69.7
2.1,81.8,80.7,58.4
1.0,80.3,79.1,52.5
5.9,84.3,70.7,68.3
4.0,78.3,74.7,56.4
3.0,80.7,85.0,60.7
6.4,90.3,54.0,69.1
5.5,77.6,65.8,61.8
3.9,65.9,60.7,50.3
2.4,99.5,74.5,59.9
6.7,95.8,84.8,71.9
6.3,69.1,62.8,53.9
4.8,88.9,41.3,52.3
8.7,77.0,65.1,71.1
2.9,84.6,81.0,59.8
1.9,84.9,76.5,50.5
3.6,79.7,75.1,67.9
4.9,74.2,66.6,59.3
5.5,75.1,54.7,48.9
4.5,72.8,76.2,56.9
5.7,73.7,60.0,58.0
2.5,81.3,96.2,71.8
7.9,74.8,76.8,62.6
4.8,88.8,63.0,66.4
7.2,96.9,62.7,77.0
5.7,76.2,68.9,57.9
5.9,84.4,67.1,62.4
6.1,87.0,83.4,64.9
5.9,86.7,72.2,65.1
6.3,82.8,61.2,62.3
7.7,89.4,92.7,80.9
5.4,86.8,70.6,70.0
6.4,69.6,79.2,59.7
4.8,90.7,62.7,52.2
7.9,90.9,74.4,73.0
3.6,74.4,73.7,58.3
8.6,82.4,47.3,64.9
4.9,88.8,94.2,69.5
2.1,79.9,85.5,59.3
5.3,92.7,65.2,72.3
3.6,100.0,56.8,62.6
6.7,74.1,74.2,62.4
3.7,68.2,71.0,51.5
4.1,85.0,74.3,61.0
1.2,89.2,72.3,64.0
4.1,79.7,76.1,59.6
1.0,96.5,87.4,62.3
1.8,68.6,76.8,49.0
6.5,88.9,57.4,69.4
6.6,75.9,86.4,78.1
5.9,99.2,89.7,78.0
3.1,100.0,100.0,72.9
4.9,74.3,56.5,54.9
5.0,76.5,72.9,48.7
2.7,90.6,45.0,55.4
8.0,78.1,76.6,70.2
6.8,81.5,63.4,66.0
4.6,82.3,93.1,64.2
5.1,62.8,60.7,50.5
5.4,81.9,49.7,54.5
1.0,75.1,64.3,53.1
4.5,77.1,46.3,49.8
3.6,96.4,79.0,76.5
3.0,69.4,45.2,47.2
4.4,90.1,70.3,56.8
8.6,79.2,45.1,61.2
6.3,79.2,66.2,59.4
3.9,89.9,89.7,56.8
6.1,85.4,74.3,74.8
7.8,87.7,59.6,70.8
6.8,91.7,69.6,72.0
5.1,78.7,70.2,61.7
3.7,75.9,75.7,51.2
6.4,71.1,53.6,53.9
5.8,73.7,77.1,67.1
6.8,100.0,37.5,57.3
6.3,94.4,62.4,54.2
7.1,68.5,64.1,59.1
3.9,68.8,77.6,56.0
7.6,86.8,70.3,70.4
5.4,87.5,53.1,63.2
9.2,87.5,58.2,73.4
3.6,79.5,72.4,59.5
8.5,80.7,69.1,75.4
5.4,85.3,63.1,54.2
3.7,82.9,64.2,59.7
4.0,59.8,78.4,57.2
4.4,79.7,63.8,51.4
5.8,73.5,68.9,52.8
6.0,83.8,96.0,68.8
3.9,100.0,52.9,56.9
5.0,85.7,47.8,60.1
9.3,78.9,79.4,70.7
8.5,91.2,61.9,66.6
5.9,86.8,66.2,61.3
5.1,86.2,60.6,66.2
5.2,88.1,66.9,63.5
6.2,100.0,89.2,75.7
3.0,70.7,79.6,55.3
4.5,86.7,80.3,71.7
1.7,72.7,53.0,41.7
5.8,87.6,56.2,68.0
6.3,72.8,35.9,52.4
4.0,77.8,60.3,54.1
8.1,79.0,81.5,84.0
2.5,91.8,76.2,55.7
2.1,91.2,67.3,55.4
5.4,69.5,69.7,52.0
7.1,82.5,61.7,69.2
8.4,74.9,72.5,76.6
4.1,69.4,79.2,66.2
7.2,79.8,50.6,66.5
4.9,78.9,73.6,60.5
4.7,100.0,81.2,68.8
6.8,86.3,65.0,57.7
6.3,68.2,78.4,72.7
1.8,76.4,100.0,63.4
8.0,92.2,68.7,69.6
7.8,100.0,74.7,82.8
3.7,66.1,61.1,45.5
5.8,63.2,72.2,59.7
6.0,100.0,75.5,71.2
5.5,85.9,72.3,68.1
3.9,73.3,57.8,52.0
3.7,87.3,72.5,53.9
4.9,55.6,87.5,57.8
7.3,82.0,75.4,74.1
6.1,85.3,81.5,68.8
4.3,91.2,67.2,66.3
6.5,71.9,79.0,59.2
1.0,82.9,73.4,53.3
7.3,72.7,58.6,57.4
1.5,84.6,73.8,59.1
4.3,73.0,58.1,53.5
2.8,77.9,62.4,56.2
2.4,72.0,72.3,58.1
7.3,88.5,73.6,74.0
4.1,90.6,55.7,59.6
5.7,79.7,82.6,61.4
4.9,82.4,76.9,63.7
6.0,67.5,61.5,53.8
5.2,79.0,51.5,53.9
2.4,81.5,68.3,52.9
7.0,100.0,64.6,66.3
4.0,70.9,71.4,46.0
1.9,96.6,65.6,54.7
4.1,92.0,45.9,56.8
8.0,84.8,65.3,61.7
6.7,99.6,66.3,70.9
4.3,85.7,77.6,73.1
4.3,85.9,61.6,64.0
4.4,81.5,90.1,74.3
9.2,94.2,47.1,71.1
5.8,93.0,85.7,78.0
5.9,75.7,67.3,57.2
7.1,68.8,80.3,62.0
5.5,80.0,71.0,48.8
4.5,74.0,83.7,67.7
4.6,81.4,65.4,66.9
4.9,94.4,56.8,59.1
4.9,77.4,87.0,63.7
6.5,81.6,68.6,61.0
5.1,82.6,72.7,64.9
6.5,90.5,84.8,78.3
4.8,59.5,57.6,40.9
5.2,75.9,77.1,64.2
1.0,84.1,62.9,49.3
6.8,94.0,68.4,70.3
5.7,77.1,70.9,64.2
7.0,63.2,52.0,53.6
1.0,88.2,60.7,51.0
9.2,75.6,86.2,73.3
4.7,70.1,80.6,64.8
7.2,75.8,69.2,66.7
2.9,80.2,72.9,58.0
6.2,76.0,66.5,55.1
2.9,59.9,86.3,51.9
3.8,91.0,67.6,65.7
8.8,94.7,72.8,76.3
4.6,88.5,83.8,70.5
5.4,70.6,60.7,64.7
6.7,80.0,88.7,75.9
6.0,81.9,51.6,59.0
5.3,88.0,89.6,67.8
5.7,88.7,65.5,51.6
9.8,74.7,67.1,69.0
4.9,82.8,47.3,53.3
5.4,86.6,64.5,64.6
7.1,96.6,57.5,67.3
7.2,89.0,62.7,65.6
7.4,89.9,68.4,60.8
6.3,82.8,81.5,63.9
2.7,96.1,72.5,64.2
8.3,86.1,73.7,80.7
2.7,73.4,56.9,48.8
5.6,96.0,59.4,66.5
3.5,89.0,91.6,71.8
4.9,77.6,61.2,53.2
5.7,77.2,89.9,69.5
5.6,85.0,67.1,59.6
5.8,86.6,70.0,69.6
8.2,84.0,82.8,74.7
5.9,85.1,85.3,71.0
4.5,99.0,68.7,62.1
6.9,92.7,65.3,72.1
7.4,83.9,69.3,78.3
2.5,91.4,74.1,55.2
6.2,71.7,80.7,62.5
6.4,86.0,70.1,67.6
4.4,100.0,77.4,72.7
7.8,79.8,89.7,70.8
4.7,73.5,74.6,45.2
5.3,75.5,73.7,68.1
4.7,71.1,51.8,55.5
5.0,74.2,38.4,40.8
2.8,78.3,74.7,53.5
2.1,67.9,68.9,57.3
8.2,82.2,63.8,74.8
3.3,91.0,72.9,66.3
3.0,72.9,69.3,52.6
1.0,97.2,83.5,61.9
3.7,87.1,71.0,60.0
2.4,92.3,61.0,62.0
8.3,75.4,81.9,66.5
7.0,90.5,67.4,64.7
3.6,71.1,76.3,61.5
9.5,90.9,64.3,73.7
7.0,83.7,62.2,71.6
4.4,87.5,71.0,59.1
1.0,70.2,70.2,47.8
9.6,73.0,75.8,66.7
2.2,88.0,66.8,56.2
1.7,72.5,48.0,36.5
7.0,86.6,64.8,64.1
9.9,68.3,79.5,64.3
7.8,90.5,66.4,73.8
6.1,69.7,67.0,62.7
6.2,87.5,81.8,61.4
6.7,88.3,61.5,72.1
6.5,75.0,51.5,69.8
5.6,87.8,68.1,64.8
5.2,84.6,64.2,58.1
4.9,76.6,58.4,70.2
3.5,71.9,67.9,47.3
4.4,62.4,75.9,55.3
1.6,85.5,69.9,55.6
4.8,66.4,73.7,63.6
3.0,83.0,91.8,65.6
2.8,79.4,65.9,51.8
5.4,88.8,73.3,61.3
7.8,79.0,63.9,63.8
6.8,78.7,59.8,56.8
1.9,89.3,63.0,55.0
3.0,85.4,64.3,53.6
6.9,85.2,74.3,61.2
3.0,86.7,98.2,73.3
4.6,66.6,61.4,50.3
6.1,89.6,65.0,59.2
3.1,88.1,69.2,58.2
5.2,71.8,74.7,60.4
2.3,79.6,73.2,46.6
3.8,81.6,85.4,65.0
5.6,80.7,40.9,48.7
1.8,85.3,41.4,55.2
5.9,96.3,64.0,69.7
5.0,92.8,83.2,67.4
6.1,68.9,51.2,50.4
5.4,88.2,35.0,53.8
7.7,95.3,76.9,78.0
5.3,85.9,72.9,64.5
4.1,92.9,56.9,58.3
5.2,100.0,58.2,65.2
6.1,92.2,58.4,61.4
5.1,84.5,71.3,61.5
5.1,92.5,62.5,52.9
3.6,83.4,75.9,65.5
3.7,82.2,35.7,49.9
2.2,78.5,59.7,46.8
8.5,97.6,56.5,81.0
2.5,73.8,66.9,52.3
3.6,97.3,63.5,56.6
3.6,87.0,79.6,67.3
6.8,68.0,47.7,56.4
4.4,85.7,70.5,63.7
7.5,61.0,76.7,60.2
3.7,88.3,92.3,69.7
5.6,90.9,64.2,63.2
3.3,76.1,73.9,59.5
9.3,83.2,48.4,56.4
2.6,100.0,41.3,51.5
5.6,76.9,80.1,73.0
6.3,71.4,69.9,57.2
5.8,96.8,84.1,70.0
4.6,100.0,53.5,59.9
4.7,82.0,76.2,56.8
5.1,92.1,92.4,61.2
4.7,95.4,75.0,66.0
6.9,74.6,73.3,65.3
9.4,77.1,70.1,70.3
3.9,94.3,51.1,57.0
2.3,98.9,86.3,66.2
4.8,87.6,62.7,66.1
10.0,73.2,76.1,71.5
3.4,100.0,51.2,55.6
8.3,76.7,55.8,62.1
8.4,78.6,87.2,76.7
3.9,85.4,65.8,66.1
6.1,97.5,87.4,71.8
8.3,90.5,69.1,72.8
4.2,86.1,47.9,56.3
4.6,86.6,80.7,60.6
3.8,82.4,62.9,56.9
3.0,87.6,78.4,54.1
3.7,56.7,70.3,41.0
2.6,79.0,51.5,51.2
5.1,84.4,72.0,61.5
3.5,70.5,96.4,63.0
5.5,85.9,75.9,65.9
1.9,80.0,69.3,48.5
5.7,99.6,82.9,73.2
6.7,97.7,72.5,65.9
1.0,77.3,72.5,58.2
5.7,80.5,56.9,52.1
7.5,81.3,72.8,67.3
2.6,77.5,82.4,52.9
8.3,84.0,60.0,70.2
5.8,74.4,87.1,64.4
3.6,70.7,68.9,51.5
4.9,88.2,59.3,64.7
6.1,88.3,82.0,70.3
5.2,74.0,66.6,60.9
6.1,91.0,79.1,65.3
3.2,75.7,66.5,47.1
5.3,84.5,69.3,63.6
2.2,90.2,75.9,58.0
4.8,81.7,73.5,65.3
3.2,86.5,46.1,51.4
3.5,76.8,56.5,53.3
7.5,80.0,81.2,62.2
7.2,79.9,68.4,75.2
6.2,74.5,63.7,59.2
2.8,80.2,53.7,54.4
4.4,66.5,57.0,46.8
7.4,77.1,45.7,60.0
5.3,79.2,68.8,54.6
9.6,79.4,62.8,71.9
5.8,79.6,58.4,57.5
5.4,81.4,69.2,62.4
4.4,86.8,74.4,66.7
5.3,90.7,95.1,66.8
4.7,75.5,51.9,49.9
6.4,70.0,83.9,67.3
6.9,71.6,81.7,76.6
3.4,77.1,60.7,52.7
2.3,78.5,72.4,57.7
1.3,74.3,64.5,47.9
6.0,69.0,72.2,69.9
2.8,77.4,88.1,51.5
1.0,83.8,77.3,55.4
5.8,88.0,76.1,59.4
10.0,76.4,64.8,57.6
5.0,77.9,52.2,56.4
6.7,72.7,67.5,62.5
5.2,81.7,84.5,65.0
4.8,73.5,51.7,52.2
6.8,87.7,57.3,79.7
4.4,64.1,71.5,53.2
5.5,78.4,58.2,60.7
5.6,85.0,60.5,58.1
3.7,83.8,64.9,59.2
7.0,100.0,53.6,66.7
4.7,85.5,58.3,56.6
3.5,72.0,78.4,66.2
6.1,81.0,54.3,65.2
3.2,64.2,50.8,46.1
5.1,81.2,62.4,47.9
5.0,73.7,78.8,59.6
7.2,91.2,67.6,83.0
5.9,76.5,64.4,59.1
4.9,80.8,70.5,66.7
6.6,75.6,49.1,64.2
7.8,99.4,75.9,77.4
6.1,78.8,74.6,60.4
5.0,100.0,65.1,54.4
2.4,90.1,82.1,65.3
2.9,86.8,56.5,50.2
4.4,85.7,83.5,66.5
3.8,85.9,71.9,54.5
4.6,62.7,66.0,51.5
5.1,79.2,69.8,61.1
6.1,90.5,68.7,68.3
4.9,81.5,84.6,60.1
6.0,67.9,57.1,61.3
5.1,81.5,60.8,56.0
1.0,99.0,82.4,53.4
3.1,94.5,62.9,58.8
4.7,81.4,80.8,64.2
2.6,91.5,90.4,66.2
6.2,78.3,65.2,68.7
8.1,65.0,78.2,64.5
7.4,72.8,56.2,59.5
4.6,97.6,79.1,63.4
8.0,79.3,72.4,72.8
5.3,79.6,75.7,64.2
4.3,79.0,62.3,54.6
3.8,100.0,50.1,49.6
4.4,98.3,76.0,75.0
4.2,100.0,45.2,52.5
5.3,80.4,66.2,57.8
5.3,85.0,81.3,68.7
5.0,66.8,72.3,51.1
5.9,96.8,93.4,68.6
7.4,70.3,82.3,56.4
6.9,84.2,62.2,68.3
2.0,71.0,70.3,48.0
1.0,76.1,69.4,64.5
6.9,73.6,51.0,52.6
2.3,75.9,58.7,45.1
4.6,76.6,63.3,54.0
2.7,76.5,45.6,48.2
1.4,90.3,70.6,53.8
6.1,71.0,67.0,62.7
6.5,84.2,49.9,55.1
3.8,94.2,74.9,57.7
1.0,76.9,78.6,43.9
3.9,74.8,72.7,46.2
5.8,79.7,66.1,59.1
2.0,93.8,77.1,59.3
5.4,83.9,78.2,62.6
5.0,76.7,73.7,67.2
6.2,86.8,60.1,69.4
5.2,71.0,73.3,57.6
3.1,88.8,84.3,54.8
7.4,86.1,62.8,63.9
4.7,78.9,95.2,64.5
4.9,73.6,63.7,53.3
3.1,73.1,70.4,50.7
4.1,87.3,61.9,55.7
3.2,94.3,72.7,60.6
4.7,75.6,49.1,49.3
8.4,86.6,63.4,70.5
2.3,61.1,56.9,45.8
1.8,76.2,71.6,47.9
7.9,81.7,81.9,78.5
4.6,72.9,77.8,55.0
3.7,72.6,41.5,38.7
7.1,75.3,94.5,73.6
3.8,84.9,73.5,56.8
8.7,80.1,60.7,68.7
6.4,59.6,71.9,45.8
4.0,60.8,72.1,59.5
9.3,75.9,62.0,70.8
3.8,86.6,72.4,53.6
6.5,54.5,62.7,46.1
5.6,77.0,65.1,68.3
7.6,76.7,61.8,59.9
8.1,95.9,52.8,64.7
5.1,78.1,71.8,49.8
3.5,85.8,77.0,59.8
5.9,83.4,76.2,65.1
3.6,60.7,79.8,57.4
9.0,89.7,73.9,68.2
5.3,84.2,63.6,53.7
4.3,87.1,80.1,67.1
5.4,100.0,53.7,69.1
2.3,61.2,59.2,36.8
3.1,99.2,58.4,65.1
7.4,79.1,83.0,70.5
3.7,84.9,81.3,68.4
2.9,81.5,75.8,57.9
6.1,77.8,82.9,54.1
7.4,76.3,59.4,61.5
6.4,85.3,74.2,72.8
7.0,66.8,68.5,56.3
3.5,89.5,80.2,61.8
2.2,77.8,68.6,52.2
8.0,70.7,65.4,49.1
4.4,77.5,76.5,69.0
4.5,94.6,80.5,63.6
7.7,76.6,62.0,66.4
6.1,85.6,69.3,65.0
5.9,74.7,57.3,63.8
9.3,89.6,40.0,67.7
3.7,88.9,72.4,60.5
6.9,100.0,77.3,70.3
5.1,80.2,73.1,66.2
5.5,88.7,46.6,48.9
8.1,83.0,65.8,71.5
6.0,95.0,43.4,55.2
6.1,74.8,86.4,73.0
7.1,89.5,57.0,66.3
4.3,80.1,85.1,67.1
3.3,81.4,81.4,61.2
2.9,82.9,59.2,45.0
1.1,84.5,56.4,44.8
9.1,80.8,74.2,75.7
2.8,84.1,59.9,55.0
4.6,97.8,71.2,72.5
4.4,91.9,64.2,64.0
5.6,90.7,48.6,54.9
6.6,77.4,43.2,51.9
6.7,73.1,72.7,64.0
3.8,91.6,63.3,48.6
4.7,90.8,63.4,70.4
5.6,96.7,78.4,73.0
4.5,76.0,84.1,68.8
8.2,79.7,66.7,59.7
6.0,65.6,65.9,63.4
6.5,78.1,76.0,76.9
6.3,92.0,53.7,56.8
7.3,77.3,72.7,70.2
5.4,88.4,76.6,66.9
2.4,80.1,78.2,49.5
5.8,85.2,46.8,60.2
3.7,70.5,60.9,56.0
3.9,82.9,59.5,53.2
6.2,52.1,71.2,60.3
7.5,80.1,75.8,60.4
5.0,65.7,88.0,53.9
5.6,94.1,64.1,66.3
8.4,89.8,64.0,70.9
5.5,86.7,83.8,65.1
10.0,97.2,73.6,84.1
6.1,72.5,85.2,68.2
1.5,99.5,73.5,64.8
6.5,91.3,56.1,63.8
5.8,79.6,54.0,61.0
7.6,93.4,51.4,64.1
6.3,70.9,77.9,73.6
4.7,73.8,84.3,58.3
2.6,75.9,92.2,71.0
4.6,76.7,80.1,62.1
3.3,71.4,84.0,51.2
3.8,94.2,63.0,67.8
6.2,79.4,56.1,60.1
8.3,85.5,80.2,78.2
5.8,76.3,75.0,69.2
2.6,63.8,71.3,51.6
5.9,84.7,74.6,63.2
7.4,62.9,73.9,66.8
3.8,81.3,85.4,63.2
4.7,68.3,85.5,64.3
5.0,100.0,76.5,59.2
3.4,91.1,80.1,66.3
6.3,83.1,76.2,63.9
4.8,94.6,64.5,72.2
5.8,73.5,79.1,66.5
3.2,87.4,53.3,55.5
4.1,84.0,82.6,66.5
6.4,84.6,55.7,56.7
4.3,94.7,73.4,73.6
8.5,89.3,59.9,79.6
4.2,84.9,76.6,64.7
5.4,65.5,69.6,64.7
6.9,72.4,50.9,54.3
2.2,80.8,75.0,52.1
1.5,82.9,63.1,51.7
1.9,70.7,80.6,55.7
7.5,100.0,70.0,72.0
3.9,97.2,74.7,68.5
10.0,88.0,58.5,73.9
3.9,82.7,62.9,52.2
5.4,79.9,64.5,62.9
8.1,72.5,80.3,73.2
9.0,82.8,90.1,78.5
9.1,84.6,60.3,75.3
7.4,69.6,82.9,60.9
7.0,85.3,44.0,62.2
6.2,80.4,55.7,53.9
